"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"720143653553844224","","","2016-04-13 06:56:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","で、セミナー決めてない","","","",""
"720141594347724802","","","2016-04-13 06:48:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","履修登録 すごい列","","","",""
"719872262451503104","","","2016-04-12 12:58:16 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","レポート書くための、Texの準備が出来て割と嬉しめ","","","",""
"719706377405337600","","","2016-04-12 01:59:06 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","かがしゅー","","","",""
"719493565122916352","","","2016-04-11 11:53:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","セミナーのために研究室訪れてよかった。","","","",""
"719347239164841984","","","2016-04-11 02:12:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","セミナー地味に悩む","","","",""
"719344286236409856","","","2016-04-11 02:00:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","たわし","","","",""
"719336803170275329","","","2016-04-11 01:30:33 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","プロセス","","","",""
"718807513295028225","","","2016-04-09 14:27:20 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","collections.Counter()
file.items()
今日の勉強","","","",""
"718803322501668865","","","2016-04-09 14:10:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","疲れた","","","",""
"718664970473381888","","","2016-04-09 05:00:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atcoderまでに間に合わないかもしれない","","","",""
"718499435219521536","","","2016-04-08 18:03:09 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ae開かない。","","","",""
"718498572690284544","","","2016-04-08 17:59:43 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","us配列 直後の日本語配列 はどうしてもミスが増える","","","",""
"718246070812352512","","","2016-04-08 01:16:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","いい案が思い浮かばないから、散歩に","","","",""
"718242487639347201","","","2016-04-08 01:02:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ken19tennis: くずしかいないから神の話で盛り上がった","718039490166595585","175375143","2016-04-07 11:35:29 +0000",""
"718012922841051136","","","2016-04-07 09:49:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ry0u_yd: 八王子に来た僕「帰るか…」","718010449590026240","1912678093","2016-04-07 09:40:05 +0000",""
